学员编号,年龄,性别,课程评分,讲师评分,平台评分,推荐意愿,学习时长
STU001,22,男,4,5,4,4,28
STU002,24,女,5,5,5,5,35
STU003,21,男,3,4,3,3,18
STU004,23,女,4,4,4,4,25
STU005,25,男,5,5,4,5,42
STU006,22,女,4,3,4,3,22
STU007,20,男,3,3,3,3,15
STU008,24,女,5,5,5,5,38
STU009,23,男,4,4,4,4,30
STU010,21,女,4,5,4,4,27
STU011,26,男,5,4,5,5,40
STU012,22,女,3,3,4,3,20
STU013,23,男,4,4,3,4,24
STU014,24,女,5,5,5,5,36
STU015,21,男,4,4,4,4,26
STU016,25,女,5,5,5,5,44
STU017,22,男,3,4,3,3,19
STU018,23,女,4,4,4,4,28
STU019,20,男,4,3,4,3,21
STU020,24,女,5,5,4,5,33
STU021,22,男,4,4,5,4,29
STU022,21,女,3,3,3,3,17
STU023,25,男,5,5,5,5,41
STU024,23,女,4,4,4,4,31
STU025,24,男,4,5,4,4,27
STU026,22,女,5,4,5,5,37
STU027,21,男,3,3,4,3,16
STU028,26,女,5,5,5,5,45
STU029,23,男,4,4,4,4,32
STU030,22,女,4,4,3,4,23
