订单编号,订单日期,产品类别,产品名称,销售数量,单价,销售额,客户地区
ORD001,2024-01-05,电子产品,无线鼠标,2,89.00,178.00,北京
ORD002,2024-01-06,图书,Python编程,1,68.00,68.00,上海
ORD003,2024-01-08,电子产品,键盘,1,199.00,199.00,广州
ORD004,2024-01-10,服装,T恤,3,59.00,177.00,深圳
ORD005,2024-01-12,图书,数据分析,2,78.00,156.00,北京
ORD006,2024-01-15,电子产品,耳机,1,299.00,299.00,上海
ORD007,2024-01-16,食品,零食礼包,5,39.00,195.00,成都
ORD008,2024-01-18,服装,卫衣,2,129.00,258.00,杭州
ORD009,2024-01-20,电子产品,充电宝,1,159.00,159.00,北京
ORD010,2024-01-22,图书,统计学,1,88.00,88.00,武汉
ORD011,2024-01-23,食品,咖啡,10,25.00,250.00,上海
ORD012,2024-01-25,电子产品,数据线,5,19.00,95.00,广州
ORD013,2024-01-26,服装,外套,1,399.00,399.00,深圳
ORD014,2024-01-28,图书,Excel教程,1,58.00,58.00,北京
ORD015,2024-01-30,电子产品,鼠标垫,3,29.00,87.00,成都
ORD016,2024-02-01,食品,茶叶,2,158.00,316.00,上海
ORD017,2024-02-03,服装,运动裤,2,99.00,198.00,杭州
ORD018,2024-02-05,电子产品,U盘,4,39.00,156.00,北京
ORD019,2024-02-06,图书,商务统计,1,98.00,98.00,广州
ORD020,2024-02-08,食品,坚果,3,68.00,204.00,深圳
ORD021,2024-02-10,电子产品,网络摄像头,1,189.00,189.00,武汉
ORD022,2024-02-12,服装,牛仔裤,1,179.00,179.00,成都
ORD023,2024-02-14,图书,机器学习,1,108.00,108.00,上海
ORD024,2024-02-15,食品,巧克力,6,35.00,210.00,北京
ORD025,2024-02-17,电子产品,显示器支架,1,129.00,129.00,杭州
ORD026,2024-02-19,服装,衬衫,2,89.00,178.00,广州
ORD027,2024-02-20,图书,经济学原理,1,128.00,128.00,深圳
ORD028,2024-02-22,电子产品,手机壳,8,25.00,200.00,北京
ORD029,2024-02-24,食品,饼干,4,42.00,168.00,上海
ORD030,2024-02-25,服装,连衣裙,1,259.00,259.00,成都
ORD031,2024-02-27,电子产品,蓝牙音箱,1,399.00,399.00,武汉
ORD032,2024-02-28,图书,大数据技术,1,88.00,88.00,杭州
ORD033,2024-03-01,食品,果汁,12,18.00,216.00,北京
ORD034,2024-03-03,电子产品,笔记本散热器,1,89.00,89.00,上海
ORD035,2024-03-05,服装,围巾,3,59.00,177.00,广州
ORD036,2024-03-06,图书,人工智能,1,118.00,118.00,深圳
ORD037,2024-03-08,电子产品,移动硬盘,1,459.00,459.00,成都
ORD038,2024-03-10,食品,牛奶,6,48.00,288.00,北京
ORD039,2024-03-12,服装,袜子,10,15.00,150.00,武汉
ORD040,2024-03-14,图书,区块链技术,1,98.00,98.00,杭州
ORD041,2024-03-15,电子产品,路由器,1,259.00,259.00,上海
ORD042,2024-03-17,食品,蜂蜜,2,128.00,256.00,广州
ORD043,2024-03-19,服装,帽子,4,49.00,196.00,深圳
ORD044,2024-03-20,图书,云计算,1,108.00,108.00,北京
ORD045,2024-03-22,电子产品,平板电脑支架,2,79.00,158.00,成都
ORD046,2024-03-24,食品,燕麦,5,32.00,160.00,武汉
ORD047,2024-03-25,服装,手套,6,29.00,174.00,上海
ORD048,2024-03-27,图书,互联网金融,1,88.00,88.00,杭州
ORD049,2024-03-28,电子产品,手写板,1,199.00,199.00,北京
ORD050,2024-03-30,食品,麦片,3,45.00,135.00,广州
